Alejandro: , fecha: 13/05/2024 9:32:13
Alejandro: 3500, fecha: 13/05/2024 9:32:50
Alejandro: , fecha: 13/05/2024 9:45:00
Alejandro: , fecha: 13/05/2024 9:45:39
Alejandro: 2700, fecha: 13/05/2024 9:46:11
Alejandro: , fecha: 13/05/2024 18:50:35
Alejandro: , fecha: 13/05/2024 18:51:57
Alejandro: , fecha: 13/05/2024 18:53:44
Alejandro: , fecha: 13/05/2024 18:54:55
Alejandro: 2300, fecha: 13/05/2024 18:56:08
Alejandro: , fecha: 14/05/2024 8:08:41
Alejandro: 200, fecha: 14/05/2024 8:09:16
Alejandro: , fecha: 14/05/2024 8:28:13
Alejandro: , fecha: 14/05/2024 8:31:46
Alejandro: , fecha: 14/05/2024 8:33:07
Alejandro: , fecha: 14/05/2024 8:39:24
Alejandro: , fecha: 14/05/2024 8:39:45
Alejandro: , fecha: 14/05/2024 8:40:19
Alejandro: , fecha: 14/05/2024 8:45:01
Alejandro: , fecha: 14/05/2024 8:46:28
Alejandro: , fecha: 14/05/2024 8:52:30
Alejandro: , fecha: 14/05/2024 8:55:57
Alejandro: , fecha: 14/05/2024 8:59:13
Alejandro: , fecha: 14/05/2024 9:00:02
Alejandro: , fecha: 14/05/2024 9:01:36
Alejandro: , fecha: 14/05/2024 9:03:00
Alejandro: , fecha: 14/05/2024 9:03:51
Alejandro: , fecha: 14/05/2024 9:04:08
Alejandro: , fecha: 14/05/2024 9:07:09
Alejandro: , fecha: 14/05/2024 9:08:31
Alejandro: , fecha: 14/05/2024 9:09:28
Alejandro: 2000, fecha: 14/05/2024 9:10:26
Alejandro: , fecha: 14/05/2024 9:11:43
Alejandro: 2100, fecha: 14/05/2024 9:12:57
Alejandro: , fecha: 14/05/2024 9:14:09
Alejandro: , fecha: 14/05/2024 9:16:04
Alejandro: 200, fecha: 14/05/2024 9:16:51
Alejandro: , fecha: 14/05/2024 9:24:51
Alejandro: , fecha: 14/05/2024 9:26:08
